tweet,label_bahasa,label_manusia,keterangan,status_validasi
[USERNAME] tapi tugasku on going semua yang selesai cuma beberapa,MIX,MIX,Sesuai,Benar
[USERNAME] #Mardkodardnahihota screening pertamanya di tiff 2018 bulan september kemaren. Bayangkan 5 bulan nunggu nya. Jamuran ga tuh bolly lovers nunggu nya. We can't wait to watch. Pleassssseeeeeee,MIX,ID,Koreksi: Seharusnya ID,Salah
Sebelum nya cek resi 6 hari lalu ..  hasil nya on process...  dan hari ini saya cek ulang keterangannya malah NOT FOUND.  INI GIMANA YA [USERNAME] soalna barang belom sampai ..  customer nya udh ngeluh ajaaa ke saya!!!! [URL],MIX,MIX,Sesuai,Benar
"[USERNAME] ""yaaaaah kok bisa lupa gitu sih? yaah nggak well itu.. kalian berdua ngulang dong...""",ID,ID,Sesuai,Benar
"[USERNAME] WKWKW. Terus ngape? Kicep bat kek putri malu. We've been through sukarno, through suharto. Kalo pun yg ditakuti benar terbukti, ngapain takut. Lawan. Kalo cuma takut si ono kepilih, Itumah lu mau enaknya doang.",MIX,MIX,Sesuai,Benar
EH JELASIN DONG INI JSF LAGI RIBUT APA ASTAGA?? CAN SOMEONE PLS EXPLAIN THIS JSF THINGS I DONT GET IT BECAUSE I DONT UNDERSTAND JAPANESE AND THE AUTO TRANSLATE MIGHT BE WRONG,MIX,MIX,Sesuai,Benar
"Earlier, when I was on my way home from, the ojol driver suddenly ask me out of nowhere: ""Mas, suka bola ga?""..And surprisingly, I was capable to give bare-minimum banters like:..""Oh Indonesia main lawan mana?""..""Emang kualifikasi piala apa?""..""Wah lawan Thailand ya, susah tuh""",MIX,MIX,Sesuai,Benar
[USERNAME] min saya hari ini dijadwalkan untuk mengerjakan tes pukul 9:45 tapi kenapa tidak bisa login yang ada hanya tulisan 404 not found. Lalu bagaimana?,MIX,MIX,Sesuai,Benar
EVER HAS IT BEEN THAT LOVE KNOWS NOT ITS OWN DEPTH UNTIL THE HOUR OF SEPARATION  KAHLIL GIBRAN (Cinta tidak akan pernah diketahui kedalamannya sampai (merasakan) jam-jam perpisahan),MIX,EN,Koreksi: Seharusnya EN,Salah
"G: iya bu, iya..B: please kamu kabari saya kalau emailnya pagi ini kamu terima ya!..G: Siap Bu..(Kemudian cek email masuk)..G: Well accepted ya Bu, saya cek filenya...11.47.B: Btw, sorry dhit, emailnya dr kemarin nyangkut di outbox, belum terkirim...Bhaiquelah~~~~.#SelasaSambat",MIX,MIX,Sesuai,Benar
cumlaude s3 seni clickbait dan misleading caption [URL],ID,EN,Koreksi: Seharusnya EN,Salah
"[USERNAME] Wkwkwk kue bandung gw baru tau lol .Gw sih dulu tau nya ya martabak doaang,  mao martabak telor or manis ya teteup 'martabak' .Makanya pas ada yg bilang terang bulan gw kira kue chinese gt",MIX,MIX,Sesuai,Benar
[USERNAME] I'm not ok.. gak dapet GA iKON dr ko [USERNAME],MIX,ID,Koreksi: Seharusnya ID,Salah
"[USERNAME] Wow aku nya sih okay, kalau dompet not okay",MIX,MIX,Sesuai,Benar
"Dari semalem tau lagi emosi mau buka IG ga bisa, mau hapus something di FB doi ga bisa, ditambah Whatsapp mau kirim gambar susah nemen. Parah  #instagramdown #facebookdown",ID,ID,Sesuai,Benar
[USERNAME] Udh gk ada gorengan lg bos [USERNAME] ...,ID,ID,Sesuai,Benar
"#latepostbingits agains~ hehe. Happy weddings mba [USERNAME] dan Mas Brata..Hopefully your family be a sakinah, mawadah, and warrahmah.... [URL]",MIX,EN,Koreksi: Seharusnya EN,Salah
Pengen deh ketemu temen lama gitu tapi dulu kasarannya cuman sekedar tau atau sekedar kenal. Pengen tau aja cerita hidup orang gimana. Gue percaya sih there must be some insight that could surprise you,MIX,MIX,Sesuai,Benar
"[USERNAME] been there done that, mantan gw di 'unboxing' sama jok sepeda BMX nya",MIX,MIX,Sesuai,Benar
Udh episode 4 tp ini masih abu2 bgt.Hadehh inilah disaat gw ga suka drama on going  [URL],MIX,MIX,Sesuai,Benar
"[USERNAME] Off course not...absolutely not....makna ga ada, pesan moral ga ada, ngehibur juga kaga...mending kapten marpel...kluar 60rb kaga rugii...#sorrynotsorry",MIX,MIX,Sesuai,Benar
[USERNAME] gue kayanya ngomong diakhir2 dah 'so its not what i think ur saying then?' kalo nggak tinggal jawab nggak gituloh. gue ngomong satu hal tbtb lo bales bejibun dan tbtb ada aja yg out of context,MIX,MIX,Sesuai,Benar
"Penang Food Rocks ! Even in Jakarta ! But the menu not very Penang le ! #penangfood #penang @ Jakarta, Indonesia [URL]",EN,EN,Sesuai,Benar
"[USERNAME] jam 3 subuh bikin mikir but okay...kayaknya sihhh bisa, soalnya itu kayak mempengaruhi indera perasa kita tapi bukan alat gerak jadi kita bisa gerak bebas. well orang disantet masih bisa bangun ga sih? idk man",MIX,MIX,Sesuai,Benar
"Down nya jangan lama2 sedih nya jangan lama2. Tuhan gasuka ..Gue bangkit kok, harga benda msh bisa dicari tapi nyawa engga. .Puji Tuhan masih diberi keselamatan semua nya tanpa luka sedikitpun",ID,ID,Sesuai,Benar
"Akhirnya bisa juga bikin not balok sekalian not angkanya..#udarulli #msischool #musisi #notasimusik #teorimusik #gurumusik #sekolahmusik #kursusmusik #kuliahmusik @ Jakarta, Indonesia [URL]",MIX,MIX,Sesuai,Benar
[USERNAME] Not biased tp disini dia keren + cantik banget gila,MIX,MIX,Sesuai,Benar
"[USERNAME] Case per case basis ya non. Karena gue gak terlalu attach dgn keluarga, dengan senang hati malah. Tapi mungkin faktor kerja, bisa dilihat dulu, ngga mungkin downgrade dong. Kalau dia anak sultan, why not? Bisa rintis usaha, apalagi era 4.0, usaha udah gak landed base.",MIX,EN,Koreksi: Seharusnya EN,Salah
Top 20 questions that annoys people: mas password wifi apa ya,MIX,MIX,Sesuai,Benar
"Eksperimen butter rolls, walaupun ada yg ke lupa stepnya tapi not bad lah besok bisa coba lagi. Gagal itu biasa~ [URL]",MIX,MIX,Sesuai,Benar
"Heran sama Sarah. Giliran ngetweet feel free to unfollow, eh malah dia baru follback",MIX,MIX,Sesuai,Benar
Di DM sama yang ganteng langsung di bales..Di DM sama yang biasa aja cuma di read doang..Di DM sama akun After minta kirim pic,ID,ID,Sesuai,Benar
"[USERNAME] Kalo kamu nyamannya kek gitu sih ya gapapa nder, thats not a weird thing kok",MIX,MIX,Sesuai,Benar
Dear [USERNAME] apk lg trouble kah? Kode booking not found kenapa... Padahal pembayaran sebelum waktu tenggat dan sudah ada pembayaran,MIX,MIX,Sesuai,Benar
"""Public transit is too expensive, we are not Jakarta"" ..Persepsi ini jangan sampai muncul di daerah lain, karena angkutan umum bukan cuma MRT [URL]",MIX,MIX,Sesuai,Benar
Jawaban nya kgn or susah lupain wkwk [URL],MIX,MIX,Sesuai,Benar
[USERNAME] mungkin badannya mmg lagi butuh istirahat.hope you are well .siap 2 hari berturutturut zumba lagii,MIX,MIX,Sesuai,Benar
[USERNAME] (w/n) Get well soon untuk writernya!,ID,ID,Sesuai,Benar
The one and only brown jacket. How can I said to you ???..Just wanna play back the time and reconstruct it...Yahh penyesalan selalu datang di akhir..#jaket,MIX,MIX,Sesuai,Benar
"[USERNAME] [USERNAME] Tapi agak riskan klo di tengah pertandingan ada yg cedera mas bro, jadi tdk ada back-upnya.",ID,ID,Sesuai,Benar
Jangan lupa terus bersyukur pada Tuhan...,ID,ID,Sesuai,Benar
"pertama2 gw gamau kalian yg baca ini mikir kalo gw itu homophobic or else, itu semua  ""choice"" atau pilihan mereka utk jadi seperti itu. I'm not a homophobic, gw gabisa dan gamau nge ganggu urusan mereka karna itu pilihan jalan hidup mereka yg gbs gw ganggu gugat!",MIX,MIX,Sesuai,Benar
"[USERNAME] not agree sih menurut gue, ya lu harus damai sm masalalu lo dulu lah",MIX,MIX,Sesuai,Benar
Its kinda weird while you chat with someone your not really past. Terus dia entah pura pura atau emang gatau dah beneran apa engga lupa dan ngapus kontak...Emosi.,MIX,MIX,Sesuai,Benar
"It's not that hard ka, nanti juga terlewati :)",EN,EN,Sesuai,Benar
"well, dengan menggunakan id yang mudah untuk memancing para bot mampir stalking ke akun saya di tambah pose badan saya yang shirtless menunjukkan hasil gym belakangan ini, saya rasa akan mudah mendapatkan apa yang saya mau",ID,ID,Sesuai,Benar
Not yang sederhana dengan lirik yang dalam bisa trending di spotify yah..Heres a song for you... Waktu Yang Salah (feat. Thantri) by Fiersa Besari.[URL],MIX,MIX,Sesuai,Benar
"Urus management agency sendiri aja ini om2 masih dianggap ga becus, which is true. Ga ada fans artis2nya Pledis yg ga pernah ngata2in om 1 ini. Minimal gemes pengen takol hahahaha. Sok kebanyakan gaya amat dia kalo lagaknya powerful nyogok sana sini. Ada juga dia yg butuh duit",MIX,MIX,Sesuai,Benar
"Well,shrsnya pagi ini gw uda dkota lain&brsiap mghadiri acara yg besar..Krn byknya rintangan& prtimbangn mmbuat gw brada dsini skrg..Trdengar sprti alasan..Its okay Sa,masi ada 1JUTA Cara& Kesempatan lainnya.. #hwaittiiing #gogogo",ID,ID,Sesuai,Benar
"Anjirlah ini data udah gua cut dari 19 juta ++ point, jadi cuma 6 juta dan gua bagi jadi per 1 juta,.Masih aja not responding CAD",MIX,MIX,Sesuai,Benar
When aku denger lagu bangtan AUTO JOGET BGST.#TwitterBestFandom #TeamBTS #SoompiAwards [URL],MIX,MIX,Sesuai,Benar
"What do you do? Kalo udah lama nggak ketemu sama doi karena doi sibuk lgi ngerjain skripsi tapi doi jalan mulu sama teman2nya?  Gw bisa aja nyamper maybe, yaa ibaratnya lu sibuk karena fokus ngerjain skripsi, tp pasti ada waktu yg free buat refreshing ... [URL]",MIX,MIX,Sesuai,Benar
"We riot coz its only for girl, .Well udah di delete juga sih tweetnya....Ganas ganas masyarakat sekitar sini emang ..[USERNAME] [URL]",MIX,MIX,Sesuai,Benar
"going all out with ur partner cuma di sesi 3, seseneng itu , makasih Tuhan Yesus :"")",MIX,ID,Koreksi: Seharusnya ID,Salah
"Masih tetep suka standup comedy. Well..tetep nonton dan tetep suka. Cuma bedanya sekarang ga nonton live. Tp gak berubah kok, tetep support Standup. I can forget some people whose hurt. but from others, i cant forget happiness.",MIX,MIX,Sesuai,Benar
lagi lagi ngerasain apa yang dirasain berbulan bulan lalu. its okay not to be okay.,MIX,MIX,Sesuai,Benar
Gue benci bgt typo aaakkk my fingers why youuuuu. Like this typo pas minta approval bos dan ku malu walaupun bos-qu tydac peduli  neep apaan anjir d sama p kan jauh  [URL],MIX,MIX,Sesuai,Benar
"Jika dia cukup bodoh melepasmu, maka kamu harus cukup pintar melupakannya. Life must go on, not to be oon  #cinta #ikhlas #bodoh #pintar",MIX,MIX,Sesuai,Benar
[USERNAME] Wkwkw its not about that.. senyumnya itu loh judes2 manis,MIX,MIX,Sesuai,Benar
Btw last Sunday was the BEST Sunday ever! Ya soalnya bisa ngeblend di rumah Pejaten sama semua and still feels like home. Thanks for having me Guys!,MIX,MIX,Sesuai,Benar
"kadang ingin mencari peluang lain, tp disisi lain belum bisa ninggalin keadaan saat ini karena emang udah setengah jalan. feeling like i'm not able to compete in looking for another chance.. bcs i still need more experiences here.",MIX,EN,Koreksi: Seharusnya EN,Salah
"Sesaat sebelum turun dari mobil pas parkir di depan kafe semalam:..Kita bawa laptop ga nih?..Haha.. bawa lah ya? (Dah siap siap balik badan mo ngeluarin laptop)..Gausa lah, katanya mau kayak couple normal...Lalu masuk, duduk manis, pesen latte. Well done guys",MIX,EN,Koreksi: Seharusnya EN,Salah
Inside : not ready for usbn unbk utbk simak utul iup dll!.Outside : [URL],EN,EN,Sesuai,Benar
"Satu figurenya 70k. Jangan kaget. This is not something you see everyday in toys fair. Ada bajaj, 300k, kap atas bisa dibuka, dalemnya lengkap tempat duduk, kopling, stir etc. Skala masih 1/87. Edann.",MIX,MIX,Sesuai,Benar
"udah tenang gw bs liat yedam senyum,yg pnting dia gpp. his smile that enaough for me",MIX,MIX,Sesuai,Benar
[[USERNAME] i also have a surprise for you tonight! kira kira surprise nya apa hayooooooooooooooo?,MIX,MIX,Sesuai,Benar
"Apalagi?  Kalo godain orang lain? Well, aku posesif. Rio punyaku. ..Sama...kalo susah dikasitau. Disuruh demi kebaikannya, malah.. [URL]",ID,ID,Sesuai,Benar
"[USERNAME] Mm not sure, ada area di lantai atas tapi gak sempet nanya kalo ada non-smoking huhu",MIX,MIX,Sesuai,Benar
[USERNAME] apa gua doang ya yg not even care :)) lo mau bontel kek asal care itu cowo yg joss wkwkwk,MIX,ID,Koreksi: Seharusnya ID,Salah
Moto g5s+ not bad juga kameranya [URL],EN,EN,Sesuai,Benar
"During the opening of a seminar I attended yesterday:..*image of Ken Yeang, an architect, appeared*..My office mate: *whispers* ""Kalo abis makan jadi apa? Ken Yeang.""..hehe. hehehe. HEHEHEHEHEILOVEMYOFFICEMATESTHEYRETHEREASONISTAYSANE",MIX,MIX,Sesuai,Benar
"[USERNAME] Ah, emang mesti luangkan waktu buat kemari lagi sambil cuti, gak buat kerjaan haha. Well noted and masuk To-do List! [URL]",MIX,MIX,Sesuai,Benar
"More than 3 years ago, i suggested my client to do some activity. Sedia sepeda di area Sudirman, bisa dipake dengan cara nukerin botol minuman (produk dia) kosong sbg pembayaran. Tentu g diapprove. Guess what, skrg healthy lifestyle lagi in dan penyewaan sepeda beneran ada.",MIX,MIX,Sesuai,Benar
[USERNAME] Ada videonya di dispatch? Dia cuma bilang maaf atas ketidaknyamanan ini well hellooo~~~~ gitu doang.,ID,ID,Sesuai,Benar
"Kalau ditanya: emang ga cape jadi gay terus? .Laah balikin aja: emang ga bosen maen ama memek mulu? Sama aja dong..Other questions: mau nikah sama cewe ga nantinya? .Well, kalau ku menemukan seorang cewe yg bener2 one of a kind and she's the one, why not? .Jodoh ngga ada yg tau",MIX,MIX,Sesuai,Benar
"Budayakan membaca DETAIL sebelum chat yaaa as written on my BIO aku tuh exclude. Dan please,i'm not a bloody tradisonal market. So no nawar nawar",MIX,MIX,Sesuai,Benar
[USERNAME] Emang gak bisa lancar diputar di Samsung Smart TV ya? Aplikasinya auto shut down mulu!..[USERNAME] Is it not applicable for Samsung Smart TV? Your app keeps auto shut down.,MIX,MIX,Sesuai,Benar
[USERNAME] You're not alone. W jg salah satu org yg pada akhirnya lebih nyaman sendiri karna terlalu lelah dikecewakan oleh society. Mungkin taraf kecewanya w for some ppl udh sampe taraf lo mau ngapain aja bodo amat anjng w udh kagak peduli lg mau die jg bodo amat.,MIX,MIX,Sesuai,Benar
"[USERNAME] pesen gosend, driver sudah ambil barang dari pengirim tp tibatiba di app driver not found n driver tidak bisa d hubungi barang yg sudah d ambil pun tidak sampai ke penerima. Gimana ini? Barang seharga 1.2 juta !! [URL]",MIX,MIX,Sesuai,Benar
"[USERNAME] CAYANG BANGEEET, KAMU KENAPA.GET WELL SOON YA!..kerja jangan capek capek harus inget kesehatan, love",ID,ID,Sesuai,Benar
Selalu ada jalan.untuk menjemput apa yang kita butuhkan. God give what u need Not what u want,MIX,MIX,Sesuai,Benar
"[USERNAME] [USERNAME] [USERNAME] Bang Sandi hadapi seorang politisi, bukan ketua MUI yang kiyai. Do not let your supporters down Bang Sandi!",MIX,MIX,Sesuai,Benar
susah kalau udah gak jujur.....I'm not signing up for this...,MIX,MIX,Sesuai,Benar
The Most Powerful Japanese Rock Girls Band  .duhhh Mami-chan dulu ter-cute ala2 Hayley Williams sekarang ter-nyentrik nih gw banget dah .Semoga next song konsisten kek bgini tipe musiknya lebih berani  [URL],ID,ID,Sesuai,Benar
"hari ini ijin ga masuk kantor karena sakit, tapi karena emg lg hectic di kantor jadinya tetep aja kerja..terus w mikir.. lebih enak kerja remote gini sih, kayaknya w lelah sama kantornya, bukan kerjaannya. tapi lelah sama cara kerjanya kantor juga deng....resign or not to resign",MIX,MIX,Sesuai,Benar
"""Kegenitan generasi tua"" wow jadi lu bilang gw genit? Well at least some generation can take jokes...but maybe not you",MIX,MIX,Sesuai,Benar
"Bener aja doong, rata-rata yang naik MRT emang trial banget yang isinya pada poto-poto. Gue merasa, ""yes, I'm not alone"". Hahahahha [URL]",MIX,MIX,Sesuai,Benar
Nyobain psd ke muka gue. Hm not bad! [URL],MIX,MIX,Sesuai,Benar
"Tahun lalu, i recommend one of my client to put their ads on MRT (station or the train itself). Tak ada yg percaya, not even my boss. Dan liat siapa skrg yg udh pasang billboard segede gaban di station MRT. Masa trial MRT, orang foto2 dgn latar belakang pilar itu. Ck",MIX,MIX,Sesuai,Benar
"[USERNAME] [USERNAME] Well noted. Mau liat Jisung, Doyum, taewoo  actually mau lihat ke 9 nya uwu.",MIX,EN,Koreksi: Seharusnya EN,Salah
Agak sedikit bingung ngeliat orang orang kaget ngeliat TZ ngomong gitu... isnt that aligned well with his speech all this time?,EN,EN,Sesuai,Benar
"[USERNAME] Ehhh welcome back a  .Sering sering tengokin twitternya, udah berdebu itu haha",ID,ID,Sesuai,Benar
"Well sebenernya masih banyak loh orang2 disekitar kita yg... gimana ya ngomongnya... masih ""gaptek"" lah ya, ga ngerti fungsi smartphone buat apa selain buat wassap sm main fb gitu, yg ga pake mikirin lagi apalagi sampe searching sebab akibat dr perbuatan dia apa gitu loh...",ID,ID,Sesuai,Benar
"Tulisan yg sangat memalukan (lagi). .1. Kewajiban manusia adalah melindungi sesama manusi.  Siapapun dia.  .2. Respect is earned not given or even forced.  .Tanpa diminta atau dipaksa,  anda akan dihormati orang lain juka memang anda pantas dihormati. [URL]",MIX,MIX,Sesuai,Benar
"Kesimpulan hidup sampai hari ini: very unpredictable and unexpected. Makanya jangan percaya sama fortune teller, no one knows whats gonna happen next",MIX,MIX,Sesuai,Benar
"In the future, bots, not docs, will diagnosis your disease (dari public lecture Pak Ronny Adhikarya di FKM UI). Ayo Indonesia harus siap! Semoga lewat [USERNAME] anak bangsa bisa berkarya. Cc: [USERNAME] [URL]",MIX,MIX,Sesuai,Benar
"""Kegenitan generasi tua"" wow jadi lu bilang gw genit? Well at least some generation can take jokes...but maybe not you",MIX,MIX,Sesuai,Benar
"[USERNAME] STOP panggil dia buluk! Pliss lahh... Seganteng ini pada panggil dia buluk lah, malika lah, hellaw. Where's your eyes? his talented boy [URL]",MIX,MIX,Sesuai,Benar
"Inget bgt inget. Dulu jaman sekolah. Pas kelas 10. Baru naik tangga sekolah kedengeran sayup2 org main gitar sambil nyanyi ""slip back out of whack at your best. It's a nightmare...."" well i never get wrong when adore in something. LOL",MIX,MIX,Sesuai,Benar
"Dahal yg butuh die,yg ga ontime juga die. Yodehlah bye motherfucker i'm going to sleep egen",MIX,MIX,Sesuai,Benar
